idx,lang,claim,gold
0,es,El misil balístico JL-2 puede llevar una carga nuclear o convencional.,
1,zh,在育种和遗传改良中需要考虑基因可能产生的多方面影响,
2,es,La educación pública promueve la conciencia sobre los riesgos de inundación y la importancia de la gestión de humedales para prevenir inundaciones en The Fens.,
3,es,El asteroide (661) Clelia fue descubierto el 22 de marzo de 1908,
4,cs,Seriál je oblíbený i mezi dospělými.,
5,zh,小竹鼠分布于阿曼,
6,zh,奇幻想链蓝被广泛应用于航空航天领域,
7,zh,相思树种子具有毒性,
8,cs,Postavy dožívají se různých dobrodružství.,
9,zh,莫利茨福尔兹担任过外交国务大臣,
10,zh,新缬草原产于欧洲,
11,cs,Díky svému humoru.,
12,zh,One of University College Cork's colleges is the Faculty of Medicine and Health Sciences,
13,zh,小竹鼠分布于斯里兰卡,
14,cs,Tento událostí se 17. listopadu 1939 věnovala řada českých vysokých škol.,
15,es,El principal objetivo del proyecto Folding@home es realizar simulaciones científicas,
16,cs,Tábor bylo založeno v roce 1420.,
17,cs,Postavy se setkávají s různými postavami.,
18,cs,Premiéru měl film v roce 2010.,
19,en,"I could not find specific information about a reservation or tribal land in Gogebic County, Michigan.",
20,zh,University College Cork has nine colleges,
21,zh,小竹鼠分布于伊拉克,
22,zh,新缬草在全球各地都有一定的栽培和观赏价值,
23,en,John Christopher Willis was a strong proponent of natural selection,
24,cs,Roman Koucky je jedním z nejúspěšnějších skibobistů v historii tohoto sportu.,
25,cs,Hlavní postavy jsou Fík a Aja.,
26,en,I cannot directly provide you with the exact number of bronze medals awarded for the Women's +67 kg Taekwondo event at the 2012 Summer Olympics,
27,en,James Joseph Sylvester worked on the theory of numbers.,
28,cs,Kosmas byl teolog,
29,es,"En el documento del año 794 se menciona a un lugar llamado ""Mugilinga"".",
30,zh,一个单一的基因变异可能会影响不止一种生物学特征,
31,es,La medalla de oro la ganó en el evento de 4x5 km,
32,cs,Černýův práce často kritizují společnost.,
33,zh,凯萨首领在2012年推出了第三张单曲《爱》,
34,es,La iglesia de San Miguel es uno de los edificios más antiguos y significativos de Möglingen.,
35,cs,V roce 2021 byli mistry světa v plážovém volejbale Nicolai Lupo a Paolo Nicolai,
36,es,Folding@home puede contribuir al desarrollo de tratamientos para el cáncer,
37,cs,Tábor bylo jedno z nejvýznamnějších měst husitského hnutí.,
38,zh,莫利茨福尔兹曾任陆军部长,
39,zh,佛德角主要参加的项目包括田径,
40,cs,Jim Čert hraje na kytaru.,
41,zh,紫钾醇再经过紫烷醇脱水酶作用生成紫精酮,
42,zh,奇连锁蓝由碳素纤维、凯福拉（凯纶）纤维以及玻璃钢纤维混合而成,
43,en,The Wismar Bay is part of the larger Bodden Lake system,
44,zh,莫利茨福尔兹是驻美大使,
45,zh,该材料具有高强度、轻质和耐用的特点,
46,cs,Nádraží Praha-Hybernská bylo otevřeno roku 1841.,
47,cs,David Černý je umělec.,
48,zh,基因的多效果性是遗传学和表型研究中的一个重要概念,
49,zh,相思念属其他物种可能在其他地区有分布,
50,zh,沃尔塞姆斯托克是负责该地区的地方政府,
51,zh,小竹鼠分布于也门,
52,en,The vocal cords are commonly associated parts of the body that can be affected by voice disorder.,
53,zh,多曼达斯•萨波尼斯被交易到波特兰开拓者队,
54,cs,Vyšel v roce 1976.,
55,cs,Funký Dům byl původně umístěn na střeše domu v Praze.,
56,es,Los registros de la existencia de Möglingen se remontan al siglo VIII.,
57,zh,成年凹耳朵湍蟾蛙通常生活在沼泽中,
58,cs,"Skandál vyvolal nátlak na Nečase, aby rezignoval.",
59,zh,在第一次世界大战期间被澳大利亚和新西兰海军俘获并改名为悉尼号,
